Date,High,Low,Open,Close,Volume,Adj Close
2020-04-27,39.59000015258789,38.790000915527344,39.5,38.880001068115234,57272480,38.880001068115234
2020-04-28,39.209999084472656,37.5,38.630001068115234,39.18000030517578,81701872,39.18000030517578
2020-04-29,39.099998474121094,38.65999984741211,38.88999938964844,38.709999084472656,50015547,38.709999084472656
2020-04-30,41.58000183105469,39.130001068115234,39.150001525878906,41.09000015258789,152293125,41.09000015258789
2020-05-06,41.9900016784668,40.349998474121094,40.5,41.90999984741211,111979022,41.90999984741211
2020-05-07,44.68000030517578,42.189998626708984,43.40999984741211,42.209999084472656,148523363,42.209999084472656
2020-05-08,42.97999954223633,42.099998474121094,42.689998626708984,42.5,89289983,42.5
2020-05-11,43.29999923706055,42.459999084472656,42.75,43.029998779296875,80348049,43.029998779296875
2020-05-12,42.900001525878906,41.47999954223633,42.88999938964844,42.220001220703125,77251351,42.220001220703125
2020-05-13,42.04999923706055,41.4900016784668,41.70000076293945,41.7599983215332,52771925,41.7599983215332
2020-05-14,41.689998626708984,40.599998474121094,41.5,40.689998626708984,77959716,40.689998626708984
2020-05-15,41.529998779296875,40.400001525878906,40.869998931884766,41.16999816894531,78855517,41.16999816894531
2020-05-18,41.36000061035156,38.97999954223633,41.099998474121094,40.220001220703125,84353093,40.220001220703125
2020-05-19,40.91999816894531,40.04999923706055,40.599998474121094,40.369998931884766,61984422,40.369998931884766
2020-05-20,40.79999923706055,39.86000061035156,40.29999923706055,40.45000076293945,60449673,40.45000076293945
2020-05-21,40.75,39.029998779296875,40.70000076293945,39.310001373291016,83554100,39.310001373291016
2020-05-22,39.2599983215332,38.119998931884766,39.0,38.380001068115234,64568415,38.380001068115234
2020-05-25,38.04999923706055,36.779998779296875,38.0,37.08000183105469,85618159,37.08000183105469
2020-05-26,37.63999938964844,37.13999938964844,37.310001373291016,37.529998779296875,59240860,37.529998779296875
