Date,High,Low,Open,Close,Volume,Adj Close
2020-04-27,2832.666015625,2802.9580078125,2812.241943359375,2815.4951171875,210100,2815.4951171875
2020-04-28,2821.7451171875,2758.24609375,2819.990966796875,2810.02392578125,253900,2810.02392578125
2020-04-29,2831.763916015625,2800.738037109375,2801.383056640625,2822.44189453125,202100,2822.44189453125
2020-04-30,2865.590087890625,2832.384033203125,2832.384033203125,2860.08203125,242500,2860.08203125
2020-05-06,2879.262939453125,2830.654052734375,2831.633056640625,2878.139892578125,249800,2878.139892578125
2020-05-07,2882.02197265625,2864.5810546875,2876.472900390625,2871.52294921875,226700,2871.52294921875
2020-05-08,2903.800048828125,2879.199951171875,2882.7099609375,2895.340087890625,226800,2895.340087890625
2020-05-11,2914.280029296875,2884.3798828125,2901.570068359375,2894.800048828125,225100,2894.800048828125
2020-05-12,2897.902099609375,2871.22998046875,2894.616943359375,2891.555908203125,197100,2891.555908203125
2020-05-13,2900.259033203125,2875.534912109375,2882.955078125,2898.050048828125,185100,2898.050048828125
2020-05-14,2887.05810546875,2869.18310546875,2887.05810546875,2870.342041015625,197800,2870.342041015625
2020-05-15,2884.219970703125,2863.3701171875,2880.70703125,2868.458984375,189000,2868.458984375
2020-05-18,2889.97998046875,2862.27099609375,2872.52392578125,2875.41796875,226000,2875.41796875
2020-05-19,2900.218994140625,2887.576904296875,2897.68701171875,2898.575927734375,197200,2898.575927734375
2020-05-20,2896.466064453125,2876.177001953125,2896.466064453125,2883.738037109375,210500,2883.738037109375
2020-05-21,2891.51806640625,2864.20703125,2890.720947265625,2867.924072265625,203500,2867.924072265625
2020-05-22,2863.0458984375,2808.01806640625,2863.0458984375,2813.764892578125,209100,2813.764892578125
2020-05-25,2821.498046875,2802.465087890625,2816.240966796875,2817.969970703125,172900,2817.969970703125
2020-05-26,2848.337158203125,2825.90087890625,2827.896728515625,2846.54736328125,276367716,2846.54736328125
